Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:qualifiers
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:name
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:provided_by
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:string	biolink:has_evidence
Clinical Data Provider	https://ia.healthdatascience.cloud/api/v1.2/meta_knowledge_graph	biolink:Protein	biolink:interacts_with	biolink:Protein	infores:spoke	biolink:provided_by
